token_idx,layer,experts
14,5,"[12, 33, 47, 14]"
14,6,"[9, 33, 8, 44]"
14,7,"[30, 24, 9, 42]"
14,8,"[58, 0, 24, 54]"
14,9,"[58, 32, 40, 12]"
14,10,"[43, 18, 4, 19]"
14,11,"[23, 42, 1, 44]"
14,12,"[17, 16, 42, 34]"
14,13,"[22, 26, 14, 20]"
14,14,"[34, 35, 36, 53]"
14,15,"[20, 24, 57, 8]"
14,16,"[2, 8, 40, 59]"
14,17,"[11, 4, 26, 59]"
14,18,"[47, 10, 18, 25]"
14,19,"[29, 48, 45, 20]"
14,20,"[13, 46, 19, 5]"
14,21,"[15, 13, 46, 10]"
14,22,"[43, 15, 48, 42]"
14,23,"[49, 28, 2, 41]"
15,0,"[40, 15, 24, 57]"
15,1,"[36, 34, 35, 46]"
15,2,"[24, 56, 35, 30]"
15,3,"[4, 33, 13, 19]"
15,4,"[22, 57, 7, 15]"
15,5,"[29, 15, 37, 27]"
15,6,"[42, 19, 44, 16]"
15,7,"[23, 17, 55, 15]"
15,8,"[59, 3, 33, 20]"
15,9,"[36, 50, 52, 15]"
15,10,"[36, 2, 55, 17]"
15,11,"[23, 59, 41, 21]"
15,12,"[15, 57, 46, 56]"
15,13,"[28, 26, 32, 7]"
15,14,"[55, 20, 27, 54]"
15,15,"[36, 19, 53, 46]"
15,16,"[11, 55, 46, 33]"
15,17,"[0, 3, 43, 35]"
15,18,"[3, 55, 20, 37]"
15,19,"[30, 14, 45, 50]"
15,20,"[59, 16, 35, 9]"
15,21,"[16, 3, 25, 41]"
15,22,"[52, 46, 5, 40]"
15,23,"[49, 9, 22, 35]"
16,0,"[7, 39, 48, 52]"
16,1,"[18, 53, 34, 27]"
16,2,"[2, 34, 43, 25]"
16,3,"[30, 16, 0, 39]"
16,4,"[31, 24, 27, 36]"
16,5,"[32, 20, 19, 34]"
16,6,"[57, 31, 43, 35]"
16,7,"[43, 35, 54, 53]"
16,8,"[39, 34, 30, 47]"
16,9,"[54, 5, 48, 32]"
16,10,"[1, 36, 4, 17]"
16,11,"[59, 14, 22, 40]"
16,12,"[30, 47, 54, 42]"
16,13,"[30, 13, 37, 35]"
16,14,"[6, 54, 25, 11]"
16,15,"[55, 32, 48, 15]"
16,16,"[4, 59, 20, 56]"
16,17,"[18, 20, 9, 45]"
16,18,"[12, 34, 17, 25]"
16,19,"[33, 38, 50, 41]"
